osmid,y,x,street_count,highway,ref,railway,geometry
65295533,37.7159529,-122.4813432,4,,,,POINT (-122.4813432 37.7159529)
65295536,37.7161449,-122.4816154,4,,,,POINT (-122.4816154 37.7161449)
65295538,37.7162404,-122.483276,4,,,,POINT (-122.483276 37.7162404)
65295543,37.716181,-122.4844373,5,,,,POINT (-122.4844373 37.716181)
65295556,37.7156272,-122.4846171,1,turning_circle,,,POINT (-122.4846171 37.7156272)
65296100,37.7459347,-122.4952551,4,,,,POINT (-122.4952551 37.7459347)
65296104,37.7403392,-122.4948631,4,,,,POINT (-122.4948631 37.7403392)
65296105,37.7384759,-122.4947325,4,,,,POINT (-122.4947325 37.7384759)
65296110,37.7347999,-122.494475,5,,,,POINT (-122.494475 37.7347999)
65296591,37.7350943,-122.4850422,3,,,,POINT (-122.4850422 37.7350943)
65296954,37.7216618,-122.4675982,3,,,,POINT (-122.4675982 37.7216618)
65296961,37.7233872,-122.466707,4,stop,,,POINT (-122.466707 37.7233872)
65296970,37.7254225,-122.4663079,3,,,,POINT (-122.4663079 37.7254225)
65297020,37.7456509,-122.5016852,4,stop,,,POINT (-122.5016852 37.7456509)
65297024,37.7419226,-122.5014239,6,,,,POINT (-122.5014239 37.7419226)
65297026,37.7400555,-122.5012931,4,,,,POINT (-122.5012931 37.7400555)
65297028,37.7381924,-122.5011626,4,,,,POINT (-122.5011626 37.7381924)
65297035,37.7352949,-122.5010593,4,,,,POINT (-122.5010593 37.7352949)
65297108,37.7325144,-122.4801304,4,,,,POINT (-122.4801304 37.7325144)
65297144,37.7428196,-122.4810669,4,,,,POINT (-122.4810669 37.7428196)
65297147,37.7409537,-122.4809383,4,,,,POINT (-122.4809383 37.7409537)
65297149,37.7390909,-122.4808079,4,,,,POINT (-122.4808079 37.7390909)
65297424,37.7196687,-122.4671652,4,,,,POINT (-122.4671652 37.7196687)
65297427,37.7216642,-122.467185,3,,,,POINT (-122.467185 37.7216642)
65297434,37.7115675,-122.4670505,4,traffic_signals,,,POINT (-122.4670505 37.7115675)
65297439,37.7124771,-122.4670964,4,traffic_signals,,,POINT (-122.4670964 37.7124771)
65297442,37.7142783,-122.467113,4,stop,,,POINT (-122.467113 37.7142783)
65299193,37.7323983,-122.4827723,4,,,,POINT (-122.4827723 37.7323983)
65299643,37.7353358,-122.4913436,4,,,,POINT (-122.4913436 37.7353358)
65299654,37.7341027,-122.4913134,4,,,,POINT (-122.4913134 37.7341027)
65299685,37.7460763,-122.4920458,4,,,,POINT (-122.4920458 37.7460763)
65299691,37.7423472,-122.4917855,4,,,,POINT (-122.4917855 37.7423472)
65299693,37.7404808,-122.4916534,4,,,,POINT (-122.4916534 37.7404808)
65299698,37.7386207,-122.4915418,4,,,,POINT (-122.4915418 37.7386207)
65299750,37.7196708,-122.4662654,4,,,,POINT (-122.4662654 37.7196708)
65299753,37.7196666,-122.468061,4,stop,,,POINT (-122.468061 37.7196666)
65299756,37.7196589,-122.4689629,4,,,,POINT (-122.4689629 37.7196589)
65299759,37.7196519,-122.4698613,4,,,,POINT (-122.4698613 37.7196519)
65299761,37.7196398,-122.4707594,4,,,,POINT (-122.4707594 37.7196398)
65299763,37.7196326,-122.471679,4,stop,,,POINT (-122.471679 37.7196326)
65299765,37.7196776,-122.472381,3,,,,POINT (-122.472381 37.7196776)
65301236,37.7245267,-122.4685303,2,,,,POINT (-122.4685303 37.7245267)
65301243,37.7247941,-122.4684753,2,,,,POINT (-122.4684753 37.7247941)
65301258,37.7238319,-122.4675528,3,,,,POINT (-122.4675528 37.7238319)
65301266,37.7252183,-122.4672896,3,,,,POINT (-122.4672896 37.7252183)
65301273,37.7320636,-122.4660992,3,,,,POINT (-122.4660992 37.7320636)
65301296,37.7303351,-122.4662778,4,stop,,,POINT (-122.4662778 37.7303351)
65301316,37.7283235,-122.4677438,5,traffic_signals,,,POINT (-122.4677438 37.7283235)
65302639,37.7268292,-122.4723691,4,,,,POINT (-122.4723691 37.7268292)
65302641,37.7268149,-122.4719979,4,traffic_signals,,,POINT (-122.4719979 37.7268149)
65302643,37.726808,-122.471703,4,,,,POINT (-122.471703 37.726808)
65302646,37.7267907,-122.4711517,4,,,,POINT (-122.4711517 37.7267907)
65302650,37.7271429,-122.4703739,3,,,,POINT (-122.4703739 37.7271429)
65302665,37.7287679,-122.4704812,3,,,,POINT (-122.4704812 37.7287679)
65302936,37.7229067,-122.4837384,3,,,,POINT (-122.4837384 37.7229067)
65302941,37.7227293,-122.4835056,3,,,,POINT (-122.4835056 37.7227293)
65302947,37.721808,-122.4825074,3,,,,POINT (-122.4825074 37.721808)
65302952,37.7216229,-122.4822362,3,,,,POINT (-122.4822362 37.7216229)
65302954,37.7207443,-122.4812483,3,,,,POINT (-122.4812483 37.7207443)
65302960,37.7206483,-122.4808929,3,,,,POINT (-122.4808929 37.7206483)
65302962,37.7197035,-122.4798037,3,,,,POINT (-122.4798037 37.7197035)
65302964,37.7194798,-122.4798926,3,,,,POINT (-122.4798926 37.7194798)
65302966,37.7195677,-122.4795918,3,,,,POINT (-122.4795918 37.7195677)
65302968,37.7186005,-122.4784746,3,,,,POINT (-122.4784746 37.7186005)
65302973,37.7194362,-122.4797634,3,,,,POINT (-122.4797634 37.7194362)
65302974,37.7196208,-122.4799244,3,,,,POINT (-122.4799244 37.7196208)
65302975,37.7205559,-122.4810185,3,,,,POINT (-122.4810185 37.7205559)
65302981,37.7217134,-122.4821252,3,,,,POINT (-122.4821252 37.7217134)
65302989,37.7227908,-122.483417,3,,,,POINT (-122.483417 37.7227908)
65302997,37.72398,-122.4847411,3,,,,POINT (-122.4847411 37.72398)
65303011,37.7151004,-122.4730179,3,,,,POINT (-122.4730179 37.7151004)
65303021,37.7166805,-122.4758855,3,,,,POINT (-122.4758855 37.7166805)
65303024,37.7167733,-122.4760999,3,,,,POINT (-122.4760999 37.7167733)
65303032,37.7169233,-122.4759557,3,,,,POINT (-122.4759557 37.7169233)
65303034,37.716776,-122.4757869,3,,,,POINT (-122.4757869 37.716776)
65303045,37.715016,-122.4731195,3,,,,POINT (-122.4731195 37.715016)
65303047,37.7149782,-122.4728716,3,,,,POINT (-122.4728716 37.7149782)
65303053,37.7143932,-122.4717576,3,,,,POINT (-122.4717576 37.7143932)
