osmid,y,x,street_count,highway,ref,railway,geometry
11976933640,37.7753666,-122.3899463,3,traffic_signals,,,POINT (-122.3899463 37.7753666)
12057164109,37.7264439,-122.4405126,4,,,,POINT (-122.4405126 37.7264439)
12057180196,37.7307204,-122.4356709,3,,,,POINT (-122.4356709 37.7307204)
12103237274,37.7217927,-122.4237257,1,,,,POINT (-122.4237257 37.7217927)
12116268953,37.7362791,-122.5021035,4,,,,POINT (-122.5021035 37.7362791)
12116291923,37.7420642,-122.498209,6,,,,POINT (-122.498209 37.7420642)
12116305046,37.7380033,-122.5054483,4,,,,POINT (-122.5054483 37.7380033)
12128669398,37.7845222,-122.4501617,3,,,,POINT (-122.4501617 37.7845222)
12128704802,37.7844909,-122.4501756,3,,,,POINT (-122.4501756 37.7844909)
12128704806,37.7844632,-122.4501664,3,,,,POINT (-122.4501664 37.7844632)
12128704808,37.7844508,-122.450151,3,,,,POINT (-122.450151 37.7844508)
12128704813,37.7844627,-122.4501149,3,,,,POINT (-122.4501149 37.7844627)
12128704816,37.7844816,-122.4501052,3,,,,POINT (-122.4501052 37.7844816)
12128704820,37.7845071,-122.4501092,3,,,,POINT (-122.4501092 37.7845071)
12128704821,37.7845248,-122.450126,3,,,,POINT (-122.450126 37.7845248)
12128704825,37.7845116,-122.4500556,3,crossing,,,POINT (-122.4500556 37.7845116)
12128704827,37.7843916,-122.4501488,3,crossing,,,POINT (-122.4501488 37.7843916)
12128704829,37.7844619,-122.4502621,3,crossing,,,POINT (-122.4502621 37.7844619)
12144489633,37.7385943,-122.4657282,3,,,,POINT (-122.4657282 37.7385943)
12195577833,37.7432344,-122.4725024,4,,,,POINT (-122.4725024 37.7432344)
12195577835,37.7431542,-122.4746435,4,traffic_signals,,,POINT (-122.4746435 37.7431542)
12195577837,37.7431315,-122.4756127,4,,,,POINT (-122.4756127 37.7431315)
12195577839,37.7430502,-122.4767882,4,,,,POINT (-122.4767882 37.7430502)
12195577840,37.7430039,-122.4778589,4,,,,POINT (-122.4778589 37.7430039)
12195577841,37.7429587,-122.4789299,4,traffic_signals,,,POINT (-122.4789299 37.7429587)
12195577844,37.7432602,-122.4713773,4,,,,POINT (-122.4713773 37.7432602)
12195577850,37.7431267,-122.4757303,4,,,,POINT (-122.4757303 37.7431267)
12195577860,37.7428996,-122.4782747,3,,,,POINT (-122.4782747 37.7428996)
12195577862,37.7429573,-122.4767835,4,,,,POINT (-122.4767835 37.7429573)
12195577864,37.742997,-122.4757186,4,,,,POINT (-122.4757186 37.742997)
12195577866,37.7430574,-122.474638,4,traffic_signals,,,POINT (-122.474638 37.7430574)
12195577870,37.7431407,-122.4724948,4,,,,POINT (-122.4724948 37.7431407)
12195577871,37.7432046,-122.4713737,4,,,,POINT (-122.4713737 37.7432046)
12195577878,37.7430078,-122.4756039,4,,,,POINT (-122.4756039 37.7430078)
12195577883,37.7429192,-122.4778533,4,,,,POINT (-122.4778533 37.7429192)
12209519614,37.80288,-122.4609718,3,,,,POINT (-122.4609718 37.80288)
12209519621,37.8029699,-122.4621364,3,,,,POINT (-122.4621364 37.8029699)
12291936114,37.7627932,-122.4578116,1,,,,POINT (-122.4578116 37.7627932)
12450268650,37.8003764,-122.4607329,3,,,,POINT (-122.4607329 37.8003764)
12450268653,37.7989226,-122.4584674,3,,,,POINT (-122.4584674 37.7989226)
12450268659,37.8048785,-122.4483698,3,,,,POINT (-122.4483698 37.8048785)
12462731892,37.742289,-122.494542,4,,,,POINT (-122.494542 37.742289)
12462731893,37.7421738,-122.4943777,4,,,,POINT (-122.4943777 37.7421738)
12465758748,37.710687,-122.4539296,2,,,,POINT (-122.4539296 37.710687)
12469082489,37.7146788,-122.3886847,3,,,,POINT (-122.3886847 37.7146788)
12469082490,37.715576,-122.389513,3,,,,POINT (-122.389513 37.715576)
12469082494,37.7364877,-122.3769949,1,,,,POINT (-122.3769949 37.7364877)
12471737468,37.7398722,-122.4000344,3,,,,POINT (-122.4000344 37.7398722)
12471737471,37.7396763,-122.3999008,3,,,,POINT (-122.3999008 37.7396763)
12471737474,37.7436291,-122.4032029,3,,,,POINT (-122.4032029 37.7436291)
12471737476,37.7437331,-122.4031301,3,,,,POINT (-122.4031301 37.7437331)
12472632438,37.773665,-122.3994794,3,,,,POINT (-122.3994794 37.773665)
12478708300,37.7906563,-122.393457,3,,,,POINT (-122.393457 37.7906563)
12478710825,37.7892729,-122.395199,3,,,,POINT (-122.395199 37.7892729)
12478830104,37.7868187,-122.3983161,3,,,,POINT (-122.3983161 37.7868187)
12478830109,37.779791,-122.4072314,3,,,,POINT (-122.4072314 37.779791)
12478830113,37.7780255,-122.4094497,3,,,,POINT (-122.4094497 37.7780255)
12478830117,37.775485,-122.4125346,3,,,,POINT (-122.4125346 37.775485)
12478830119,37.7750478,-122.4132135,3,,,,POINT (-122.4132135 37.7750478)
12478830122,37.7731428,-122.4156358,3,,,,POINT (-122.4156358 37.7731428)
12478830126,37.773053,-122.4155233,3,,,,POINT (-122.4155233 37.773053)
12479146918,37.7715829,-122.414385,3,,,,POINT (-122.414385 37.7715829)
12479146921,37.7718071,-122.4139754,3,,,,POINT (-122.4139754 37.7718071)
12479146924,37.7784717,-122.4055852,3,,,,POINT (-122.4055852 37.7784717)
12479146927,37.7798892,-122.4039327,3,,,,POINT (-122.4039327 37.7798892)
12479146929,37.7802274,-122.4033538,3,,,,POINT (-122.4033538 37.7802274)
12479146933,37.7819738,-122.4011116,3,,,,POINT (-122.4011116 37.7819738)
12482401111,37.7695675,-122.4076796,3,,,,POINT (-122.4076796 37.7695675)
12482474324,37.8050545,-122.4334169,3,,,,POINT (-122.4334169 37.8050545)
12498396189,37.7421924,-122.4952997,3,,,,POINT (-122.4952997 37.7421924)
12498396198,37.7422,-122.4939203,3,,,,POINT (-122.4939203 37.7422)
12498424404,37.7422689,-122.4949972,3,,,,POINT (-122.4949972 37.7422689)
