u,v
65302954,315424198
65302960,315424202
65302962,65302960
65302962,65302974
65302964,65307563
65302964,65302973
65302966,259403914
65302968,65302966
65302968,65316813
65302973,65316813
65302973,65302966
65302974,65302964
65302975,65302974
65302975,65302960
65302981,65347665
65302989,3526821452
65302997,4071044650
65302997,2487283194
65303011,315422932
65303011,65303045
65303021,315422800
65303021,65303034
65303024,263988287
65303032,65316826
65303032,65303024
65303034,65291627
65303045,3652899242
65303047,65303011
65303053,9306667142
65303053,65287033
65303063,65303047
65303063,9306667142
65304983,4062775050
65304983,65362333
65304983,65333095
65305723,65305725
65305725,65330300
65305725,65305727
65305725,65305723
65305725,65297442
65305727,65305729
65305727,65305725
65305727,65349387
65305727,1607089648
65305729,65299753
65305729,65335446
65305729,65305727
65305729,1607089656
65305916,1607089626
65305916,65305922
65305916,65358669
65305916,65299763
65305922,65318460
65305922,1777579938
65305922,65318455
65305922,65305916
65305937,65305941
65305937,1606434399
65305937,65332942
65305937,388001187
65305941,65305947
65305941,65305947
65305941,65305937
65305947,65305941
65305947,65305941
65305947,65305959
65305959,258757450
65306402,65306421
65306402,65332964
65306402,65332942
65306421,65306402
65306421,65332964
65306421,65302639
65306426,65306421
65306426,65332985
65306600,65318544
65306600,65293135
65306600,65306602
65306600,65295147
65306602,65318546
65306602,65293138
65306602,65306604
65306602,65306600
65306604,65293141
65306604,65318549
65306604,65306602
65306604,4035920542
65307202,65295158
65307202,65310657
65307205,65333152
65307205,65320136
65307205,65307208
65307205,65295158
65307208,65333155
65307208,65320139
65307208,4034231279
65307208,65307205
65307543,5994182975
65307545,315420239
65307545,1201336245
65307545,65307547
65307547,65316818
65307547,65307550
65307547,65307545
65307550,1201336181
65307550,259403914
65307550,65307547
65307563,65307567
65307563,65302964
65307563,65342995
65307567,65307563
65307567,65292201
65307567,65336367
65308198,65342811
65308198,65317020
65308198,260169463
65309568,4062846078
65309568,4062847086
65309568,65322468
65309568,65297108
65309583,65309586
65309583,65295135
65309583,65322480
65309583,65297144
65309586,65309588
65309586,65309583
65309586,65322482
65309586,65297147
65309588,65309586
65309588,999546390
65309588,65297149
65309588,65333235
65309770,65310680
65309770,65310684
65309770,65295206
65309772,65295206
65309772,65366846
65309772,65309774
65309772,65322161
65309774,65309776
65309774,65309772
65309774,65322163
65309774,65353322
65309776,12116305046
65309776,65287898
65309776,65309774
65309776,65340973
65309778,65287898
65309778,65322168
65309852,65314792
65309852,1735947596
65309852,65329952
65309852,2315778209
65309863,615144100
65309866,436969507
65309866,258755838
65309866,65314788
65310657,65295160
65310657,65299685
65310657,65307202
65310660,65310662
65310660,65299685
65310660,65295164
65310662,65310660
65310662,258916769
65310662,65295168
65310665,65295172
65310665,65310667
65310665,65296100
65310667,65310665
65310667,65310670
65310667,65295177
65310670,65310673
65310670,65295179
65310670,65310667
65310673,65310675
65310673,65310670
65310673,65295181
65310675,65297020
65310675,65310673
65310675,65295183
65310678,65310680
65310678,65297020
65310678,65295190
65310680,65309770
65310680,65310678
65310680,65295192
65310684,65295214
65310684,65310688
65310684,65309770
65310688,65295218
65310688,65310690
65310688,65310684
65310690,65295223
65310690,65310688
65310872,65358646
65310877,65310872
65310877,65342049
65310894,65310877
65310894,65342049
65310894,65342051
65311274,260169463
65311274,65320652
65311274,65320652
65311377,65342811
65311377,260169463
65311390,65347159
65311390,65311274
65311401,65312089
65312089,65312094
65312089,258972779
65312089,65311401
65312094,65312089
65312142,65322025
65312142,65322025
65312605,260168259
65313263,3645308401
65313263,1707875140
65313263,1707875243
65314286,65314293
65314286,3645339991
65314293,65314286
65314293,65329952
65314293,65375081
65314788,65332476
65314788,65309866
65314788,258755839
65314788,65291599
65314792,65329950
65314792,65309852
65314792,315429027
65314792,258755842
65315046,258755838
65315046,65315055
65315046,65360361
65315055,258755839
65315055,65291602
65315055,65360365
65315071,258755841
65315071,65315076
65315071,65324074
65315076,258755842
65315076,65360368
65315986,2909552124
65316006,258757484
65316006,65316014
65316014,65350793
65316021,6903838284
65316021,761765975
65316105,258757445
65316105,65359469
65316105,12195577864
