u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,bridge,tunnel,geometry,width,access,junction,artificial
65284828,65284849,0.0,8915397,trunk_link,1,,,True,,False,134.30184860023732,,,"LINESTRING (-122.4706332 37.7127152, -122.470488 37.7126803, -122.470457 37.7126691, -122.4704324 37.7126564, -122.4704138 37.7126406, -122.4704002 37.7126225, -122.4703893 37.712601, -122.4703839 37.7125766, -122.4703849 37.7125518, -122.470393 37.7125288, -122.4704088 37.7125039, -122.4704302 37.7124808, -122.4704544 37.7124608, -122.4704855 37.7124393, -122.4705302 37.7124109, -122.4705829 37.7123805, -122.4707366 37.7122951, -122.470782 37.7122706, -122.470815 37.7122552, -122.4708494 37.7122431, -122.4708801 37.7122353, -122.470911 37.712233, -122.4709439 37.7122386, -122.4709753 37.712252, -122.4709969 37.7122696, -122.4710488 37.7123411, -122.4711665 37.7125409)",,,,False
65284828,260168596,0.0,"[23780704, 532855042]",secondary,2,35 mph,Brotherhood Way,True,,False,315.37951141449014,,,"LINESTRING (-122.4706332 37.7127152, -122.47055 37.712716, -122.4704656 37.7127144, -122.4703841 37.7127108, -122.4703014 37.7127062, -122.4702163 37.7126988, -122.4701347 37.7126896, -122.4700537 37.7126794, -122.469972 37.7126665, -122.4698907 37.7126525, -122.4698106 37.7126368, -122.4694457 37.7125664, -122.4692582 37.71253, -122.468771 37.7124366, -122.4686237 37.7124094, -122.4684524 37.7123859, -122.4682806 37.7123685, -122.468111 37.7123586, -122.4679423 37.7123564, -122.4677691 37.7123594, -122.4671989 37.7123731, -122.4670957 37.7123756)",,,,False
65284849,65284851,0.0,28950514,trunk,4,45 mph,Junipero Serra Boulevard,True,CA 1,False,49.01696655065932,yes,,"LINESTRING (-122.4711665 37.7125409, -122.471172 37.7125876, -122.471192 37.7127269, -122.4712126 37.7128576, -122.4712324 37.7129786)",,,,False
65284851,65284868,0.0,8915402,trunk_link,1,,,True,,False,148.72432067163663,,,"LINESTRING (-122.4712324 37.7129786, -122.4711912 37.713228, -122.4711826 37.7132549, -122.4711697 37.7132772, -122.4711538 37.7132972, -122.4711332 37.7133137, -122.471107 37.7133254, -122.4710772 37.7133327, -122.4710469 37.7133346, -122.4710184 37.7133331, -122.4709897 37.7133264, -122.4709619 37.7133152, -122.4709337 37.7132993, -122.4709003 37.713278, -122.4708547 37.713247, -122.4708002 37.713207, -122.4706599 37.7130982, -122.4706304 37.7130746, -122.4706107 37.7130576, -122.4705944 37.7130405, -122.4705834 37.7130253, -122.4705745 37.7130079, -122.4705711 37.7129912, -122.4705703 37.7129738, -122.4705738 37.7129556, -122.4705797 37.7129403, -122.470588 37.7129266, -122.4706038 37.7129121, -122.4706244 37.7128999, -122.4706459 37.7128905, -122.4706698 37.7128823, -122.4706927 37.712876, -122.4709658 37.712818)",,,,False
65284851,65283131,0.0,28950515,trunk,3,45 mph,Junipero Serra Boulevard,True,CA 1,False,141.18937296369583,,,"LINESTRING (-122.4712324 37.7129786, -122.4712454 37.7130505, -122.4712696 37.7131803, -122.4712958 37.7133122, -122.4713237 37.7134432, -122.4713532 37.7135713, -122.471386 37.7137063, -122.4714195 37.7138357, -122.4714548 37.7139636, -122.4715158 37.7142281)",,,,False
65284868,612723135,0.0,"[184255588, 1382961350]",secondary,2,35 mph,Brotherhood Way,True,,False,132.29513133143547,,,"LINESTRING (-122.4709658 37.712818, -122.4710481 37.7128174, -122.4717979 37.7128086, -122.4718813 37.7128074, -122.4719248 37.7128077, -122.4719669 37.7128094, -122.472012 37.7128126, -122.4720526 37.7128164, -122.4720961 37.7128211, -122.4721373 37.7128268, -122.4721779 37.7128328, -122.4722164 37.7128394, -122.4722575 37.7128462, -122.4722996 37.7128541, -122.4723412 37.7128623, -122.4723784 37.7128709, -122.4724192 37.7128804, -122.472458 37.7128901)",,,,False
65285870,65291691,0.0,225808833,residential,,,Gonzalez Drive,False,,True,92.59322065970969,,,"LINESTRING (-122.4757079 37.7197923, -122.4756772 37.7197199, -122.4756666 37.7196671, -122.475566 37.7190771, -122.4755454 37.7189708)",,,,False
65285870,65291683,0.0,440850324,residential,,,,True,,False,16.049604111654794,,,"LINESTRING (-122.4757079 37.7197923, -122.4756805 37.7198352, -122.4756686 37.7198824, -122.4756733 37.7199304)",,,roundabout,False
65286997,4073063877,0.0,8915734,trunk_link,1,,,True,,False,139.30600412895112,,,"LINESTRING (-122.4713401 37.712534, -122.4714037 37.7123182, -122.471413 37.7122912, -122.4714235 37.7122676, -122.4714388 37.7122445, -122.4714644 37.7122212, -122.471493 37.712207, -122.4715255 37.7121994, -122.4715583 37.7121989, -122.4715928 37.7122046, -122.4716264 37.7122174, -122.4716593 37.7122361, -122.4716901 37.7122565, -122.4717265 37.7122822, -122.4717723 37.7123154, -122.4718946 37.7124113, -122.4719208 37.7124328, -122.4719443 37.7124546, -122.4719658 37.7124795, -122.4719804 37.7125025, -122.4719867 37.7125273, -122.471985 37.7125525, -122.4719767 37.7125748, -122.4719606 37.7125952, -122.4719406 37.7126126, -122.4719171 37.7126251, -122.4718764 37.7126409, -122.4718294 37.7126533, -122.4716286 37.7126916)",,,,False
65286997,612724723,0.0,28950513,trunk,3,45 mph,Junipero Serra Boulevard,True,CA 1,False,119.890885208239,,,"LINESTRING (-122.4713401 37.712534, -122.4713288 37.7124417, -122.4713147 37.7123178, -122.4713005 37.7121851, -122.471291 37.7120599, -122.4712818 37.711928, -122.4712732 37.7117915, -122.4712663 37.7116593, -122.4712588 37.711458)",,,,False
65287033,65286997,0.0,"[28950512, 406944777, 990931439]",trunk,"['4', '3']",45 mph,Junipero Serra Boulevard,True,CA 1,False,159.22865956763366,yes,,"LINESTRING (-122.4716277 37.7139467, -122.4715877 37.713824, -122.4715787 37.7137881, -122.4715463 37.7136561, -122.4715162 37.7135238, -122.4714876 37.713396, -122.4714607 37.7132619, -122.4714462 37.7131848, -122.4714073 37.7129745, -122.4713925 37.7128888, -122.4713772 37.7127924, -122.4713588 37.7126699, -122.4713401 37.712534)",,,,False
65287033,1350167104,0.0,"[8915736, 1409572651]",trunk_link,1,,,True,,False,121.5612205759086,,,"LINESTRING (-122.4716277 37.7139467, -122.4716535 37.7138174, -122.4716386 37.7136701, -122.4716367 37.7136325, -122.4716373 37.7135936, -122.4716418 37.7135499, -122.471651 37.7135105, -122.4716652 37.7134708, -122.4716873 37.713432, -122.4717173 37.7133955, -122.4717495 37.7133635, -122.4717858 37.7133333, -122.4721894 37.7130245)",,,,False
65287720,65360198,0.0,8921789,tertiary,2,25 mph,Taraval Street,False,,False,16.0470937028494,,,"LINESTRING (-122.4658875 37.7435768, -122.466069 37.7435617)",,,,False
65287720,65287725,0.0,8915865,residential,,,Wawona Street,False,,False,263.0886044965578,,,"LINESTRING (-122.4658875 37.7435768, -122.4658861 37.7434924, -122.4658865 37.7434792, -122.4659178 37.7433863, -122.4667393 37.7414581, -122.46674 37.7414234, -122.4667237 37.741344, -122.4667176 37.7413221)",,,,False
65287725,65287720,0.0,8915865,residential,,,Wawona Street,False,,True,263.0886044965578,,,"LINESTRING (-122.4667176 37.7413221, -122.4667237 37.741344, -122.46674 37.7414234, -122.4667393 37.7414581, -122.4659178 37.7433863, -122.4658865 37.7434792, -122.4658861 37.7434924, -122.4658875 37.7435768)",,,,False
65287725,1707842763,0.0,286335250,residential,,,Ulloa Street,False,,False,83.59442141856914,,,"LINESTRING (-122.4667176 37.7413221, -122.466822 37.7413568, -122.4669408 37.7413942, -122.4670807 37.741429, -122.4672308 37.7414591, -122.4673785 37.741484, -122.467517 37.7415034, -122.4676328 37.7415126)",,,,False
65287725,65327955,0.0,619568421,residential,,,Ulloa Street,False,,True,56.7737074840968,,,"LINESTRING (-122.4667176 37.7413221, -122.4666099 37.7412846, -122.466512 37.741247, -122.4664044 37.7411967, -122.4662821 37.7411366, -122.4662431 37.7411172, -122.4661567 37.7410713)",,,,False
65287725,65287734,0.0,619568422,residential,,,Wawona Street,False,,True,189.5629915113436,,,"LINESTRING (-122.4667176 37.7413221, -122.4667136 37.741304, -122.466693 37.7412171, -122.4667283 37.7411771, -122.4679415 37.7400881, -122.4680234 37.7400147)",,,,False
65287734,65287736,0.0,28574980,residential,,,Wawona Street,False,,True,221.35162761983747,,,"LINESTRING (-122.4680234 37.7400147, -122.4681121 37.739935, -122.4696319 37.7385709, -122.4696874 37.738521)",,,,False
65287734,65340911,0.0,255170265,tertiary,2,,Vicente Street,False,,False,19.1611495074163,,,"LINESTRING (-122.4680234 37.7400147, -122.4680952 37.7400239, -122.4681725 37.7400284, -122.4682399 37.7400331)",,,,False
65287734,65287725,0.0,619568422,residential,,,Wawona Street,False,,False,189.56299151134365,,,"LINESTRING (-122.4680234 37.7400147, -122.4679415 37.7400881, -122.4667283 37.7411771, -122.466693 37.7412171, -122.4667136 37.741304, -122.4667176 37.7413221)",,,,False
65287734,1707875334,0.0,619568423,tertiary,2,,Vicente Street,False,,True,91.4202285596628,,,"LINESTRING (-122.4680234 37.7400147, -122.467884 37.7399949, -122.4677567 37.7399665, -122.4676267 37.7399363, -122.4674948 37.7399027, -122.4673708 37.739866, -122.4672484 37.739825, -122.46714 37.7397849, -122.4670887 37.7397641, -122.467045 37.7397465)",,,,False
65287736,65287734,0.0,28574980,residential,,,Wawona Street,False,,False,221.35162761983747,,,"LINESTRING (-122.4696874 37.738521, -122.4696319 37.7385709, -122.4681121 37.739935, -122.4680234 37.7400147)",,,,False
65287736,65287741,0.0,28574980,residential,,,Wawona Street,False,,True,153.40917586976852,,,"LINESTRING (-122.4696874 37.738521, -122.4697684 37.7384484, -122.4705782 37.7377214, -122.4706012 37.7377051, -122.4706275 37.737689, -122.4706565 37.7376781, -122.4706824 37.7376715, -122.4708795 37.7376587, -122.4709552 37.7376555)",,,,False
65287736,65340931,0.0,158624823,tertiary,2,,14th Avenue,False,,True,123.66351527360013,,,"LINESTRING (-122.4696874 37.738521, -122.4697544 37.7385805, -122.4697971 37.7386181, -122.4698588 37.7386966, -122.4699097 37.7387899, -122.4699392 37.738879, -122.4699704 37.7389896, -122.4699988 37.7394573, -122.4699961 37.7395715)",,,,False
65287736,1707875140,0.0,310458110,tertiary,2,,14th Avenue,False,,False,76.84949546993742,,,"LINESTRING (-122.4696874 37.738521, -122.4696143 37.7384576, -122.4694239 37.7382917, -122.4693816 37.738255, -122.4692277 37.7381249, -122.469167 37.7380755, -122.4690901 37.7380167)",,,,False
65287741,65287736,0.0,28574980,residential,,,Wawona Street,False,,False,153.40917586976852,,,"LINESTRING (-122.4709552 37.7376555, -122.4708795 37.7376587, -122.4706824 37.7376715, -122.4706565 37.7376781, -122.4706275 37.737689, -122.4706012 37.7377051, -122.4705782 37.7377214, -122.4697684 37.7384484, -122.4696874 37.738521)",,,,False
65287741,4044866160,0.0,28574980,residential,,,Wawona Street,False,,True,101.55373525905551,,,"LINESTRING (-122.4709552 37.7376555, -122.4710863 37.7376496, -122.4717893 37.7376178, -122.4721082 37.7376036)",,,,False
65287741,1707875211,0.0,468133442,residential,,,15th Avenue,False,,False,123.54808049057378,,,"LINESTRING (-122.4709552 37.7376555, -122.4709391 37.7375777, -122.4709332 37.7375495, -122.4708887 37.7369403, -122.4708818 37.7368936, -122.4708696 37.7368508, -122.470847 37.736808, -122.4708179 37.7367703, -122.4707811 37.736732, -122.4707399 37.7366991, -122.4707008 37.7366742, -122.4706236 37.7366258)",,,,False
65287741,65340935,0.0,468133442,residential,,,15th Avenue,False,,True,207.5072840408964,,,"LINESTRING (-122.4709552 37.7376555, -122.470975 37.7377448, -122.4709784 37.7377604, -122.4710233 37.7384463, -122.4710941 37.7394353, -122.4711006 37.7395174)",,,,False
65287746,4044866160,0.0,28574980,residential,,,Wawona Street,False,,False,93.22621751639352,,,"LINESTRING (-122.4731672 37.7375643, -122.4721082 37.7376036)",,,,False
65287746,65340939,0.0,"[505817936, 28574980]",residential,,,"['18th Avenue', 'Wawona Street']",False,,True,307.2657803840612,,,"LINESTRING (-122.4731672 37.7375643, -122.4732098 37.7375327, -122.4732435 37.7375175, -122.4732798 37.7375122, -122.4742271 37.7374679, -122.4742317 37.7375311, -122.4742857 37.7382474, -122.4743224 37.7387851, -122.4743582 37.7392898, -122.4743641 37.7393716)",,,,False
65287746,65329602,0.0,526276795,residential,,,17th Avenue,False,,True,206.60140724217376,,,"LINESTRING (-122.4731672 37.7375643, -122.4731711 37.7376195, -122.4732268 37.7384115, -122.473293 37.7393369, -122.4732986 37.7394194)",,,,False
65287762,258757448,0.0,33869150,residential,,,Wawona Street,False,,True,11.979108081542506,,,"LINESTRING (-122.475383 37.7374593, -122.475247 37.7374655)",,,,False
65287762,65287763,0.0,89812462,residential,,,Wawona Street,False,,False,89.0935732028023,,,"LINESTRING (-122.475383 37.7374593, -122.4754783 37.7374551, -122.4763947 37.7374162)",,,,False
65287762,65316139,0.0,"[417385773, 89812519]",trunk,"['4', '3']",30 mph,19th Avenue,True,CA 1,False,303.7873078487857,,,"LINESTRING (-122.475383 37.7374593, -122.4753811 37.7373732, -122.4753783 37.7371878, -122.4753766 37.7371197, -122.4753747 37.7370544, -122.4753725 37.7369882, -122.4753706 37.7369204, -122.4753675 37.7368511, -122.4753639 37.7367853, -122.4753565 37.7366651, -122.4753161 37.7360101, -122.4752443 37.7348393, -122.4752431 37.7348168, -122.475237 37.7347722, -122.4752293 37.7347305)",,,,False
65287763,65287766,0.0,133856294,residential,,,Wawona Street,False,,False,94.35594761383614,,,"LINESTRING (-122.4763947 37.7374162, -122.4774662 37.7373712)",,,,False
65287763,65340947,0.0,215848142,residential,,,20th Avenue,False,,True,207.33838195737763,,,"LINESTRING (-122.4763947 37.7374162, -122.4765247 37.739278)",,,,False
65287763,4035920531,0.0,529817784,residential,,,20th Avenue,False,,False,11.927241512969127,,,"LINESTRING (-122.4763947 37.7374162, -122.4763872 37.7373091)",,,,False
65287763,65287762,0.0,89812462,residential,,,Wawona Street,False,,True,89.0935732028023,,,"LINESTRING (-122.4763947 37.7374162, -122.4754783 37.7374551, -122.475383 37.7374593)",,,,False
65287766,4035920524,0.0,133856293,residential,,,Wawona Street,False,,False,94.26878378109171,,,"LINESTRING (-122.4774662 37.7373712, -122.4785367 37.7373261)",,,,False
65287766,65287763,0.0,133856294,residential,,,Wawona Street,False,,True,94.35594761383614,,,"LINESTRING (-122.4774662 37.7373712, -122.4763947 37.7374162)",,,,False
65287766,4035920529,0.0,529817781,residential,,,21st Avenue,False,,False,12.072060252960572,,,"LINESTRING (-122.4774662 37.7373712, -122.4774586 37.7372628)",,,,False
65287766,65340952,0.0,1347997146,residential,,,21st Avenue,False,,True,207.1375660990224,,,"LINESTRING (-122.4774662 37.7373712, -122.4775898 37.7391424, -122.477596 37.7392312)",,,,False
65287776,1196699108,0.0,49196864,residential,,,25th Avenue,False,,True,33.87322126059524,,,"LINESTRING (-122.481658 37.7372381, -122.4817055 37.7374607, -122.4817165 37.7374985, -122.4817341 37.7375361)",,,,False
65287776,65287782,0.0,133856293,residential,,,Wawona Street,False,,False,112.77825164049284,,,"LINESTRING (-122.481658 37.7372381, -122.4817275 37.737256, -122.4817923 37.7372785, -122.4818846 37.7373158, -122.4819813 37.7373548, -122.482075 37.7373882, -122.4821761 37.7374194, -122.482277 37.7374432, -122.4823816 37.7374631, -122.4824907 37.7374765, -122.4825889 37.7374836, -122.4826952 37.7374869, -122.4827909 37.737486, -122.4828819 37.7374818)",,,,False
65287776,4035891345,0.0,133856293,residential,,,Wawona Street,False,,True,86.39540924401518,,,"LINESTRING (-122.481658 37.7372381, -122.4815913 37.7372264, -122.4815279 37.7372196, -122.4814669 37.7372168, -122.4814148 37.7372155, -122.4813598 37.7372176, -122.4806789 37.7372466)",,,,False
65287782,65287776,0.0,133856293,residential,,,Wawona Street,False,,True,112.77825164049284,,,"LINESTRING (-122.4828819 37.7374818, -122.4827909 37.737486, -122.4826952 37.7374869, -122.4825889 37.7374836, -122.4824907 37.7374765, -122.4823816 37.7374631, -122.482277 37.7374432, -122.4821761 37.7374194, -122.482075 37.7373882, -122.4819813 37.7373548, -122.4818846 37.7373158, -122.4817923 37.7372785, -122.4817275 37.737256, -122.481658 37.7372381)",,,,False
65287805,4045528444,0.0,"[430952068, 28693878]",residential,,,Wawona Street,False,,True,249.3155643094833,,,"LINESTRING (-122.487495 37.7369632, -122.4873948 37.7369596, -122.4873188 37.7369541, -122.4872034 37.7369412, -122.4870675 37.7369239, -122.4869394 37.736905, -122.4868008 37.7368826, -122.486661 37.7368574, -122.4865214 37.7368284, -122.486386 37.7367967, -122.486297 37.7367767, -122.4862087 37.7367616, -122.4861124 37.7367549, -122.4860082 37.7367559, -122.4858938 37.7367639, -122.4857862 37.7367776, -122.4856985 37.7367919, -122.4856193 37.73681, -122.4855464 37.7368332, -122.4854724 37.7368663, -122.4854031 37.7369032, -122.4851439 37.7370493, -122.4851053 37.7370691, -122.4850703 37.737084, -122.4850335 37.7370971, -122.4849936 37.7371082, -122.48495 37.737117, -122.4849051 37.737124, -122.4848561 37.7371292, -122.4848062 37.7371322)",,,,False
65287805,65328500,0.0,255178169,residential,,,30th Avenue,False,,True,75.11283278995602,,,"LINESTRING (-122.487495 37.7369632, -122.4875172 37.7373025, -122.4875392 37.7376378)",,,,False
65287831,65287834,0.0,31860142,residential,,,Wawona Street,False,,False,21.261978781898783,,,"LINESTRING (-122.4901588 37.7379087, -122.4901965 37.7379073, -122.4902367 37.7379036, -122.4902722 37.737898, -122.4903085 37.7378898, -122.4903493 37.7378783, -122.4903922 37.7378645)",,,,False
